ID,Name,Source,SpectralData,AngularFunction,Thickness,Tsol,Rsol1,Rsol2,Tvis,Rvis1,Rvis2,Tir,emis1,emis2,Conductivity,Comment,Manufacturer,ProductName,Color,Certification,Status,Timestamp,Specularity,Tvis2,Tsol2,MaterialID
1724,R8SB.ABF,IGDB v17.0,1,0,4.836999893,0.079482451,0.355525255,0.449948609,0.037874475,0.070863843,0.499475151,0,0.75999999,0.839999974,0.995999992,,A & B Films Pte Ltd,R 8 SB,4339761, ,256,1457602039,0,0.037874475,0.079482451,
5784,te10_3.gja,IGDB v13.7,1,0,5.840000153,0.025150727,0.102314681,0.43888858,0.039905827,0.078491874,0.277892351,0,0.839999974,0.409999996,1,,G.James Australia,Solarplus TE10 on Grey,2963513, ,256,1457602040,0,0.039905827,0.025150727,
2745,FXST5.mmm,IGDB v16.0,1,0,5.742000103,0.370553792,0.055066619,0.056387123,0.042555708,0.045592625,0.044486772,0,0.839999974,0.839999974,0.984000027,,3M Corporation,FX,3816758,#,256,1457602040,0,0.042555708,0.370553792,
5809,ss08_4.gja,IGDB v13.6,1,0,5.801000118,0.042423554,0.189758137,0.492511511,0.046584755,0.176013976,0.379988313,0,0.839999974,0.419999987,1,,G.James Australia,Solarplus SS08 on Bronze,3554369, ,256,1457602040,0,0.046584755,0.042423554,
5811,ss08_a5.gja,IGDB v13.6,1,0,5.840000153,0.02731052,0.125460789,0.496484518,0.047608603,0.199865356,0.385090321,0,0.839999974,0.419999987,1,,G.James Australia,Solarplus SS08 on Arctic Blue,4342066, ,256,1457602040,0,0.047608603,0.02731052,
5785,te10_4.gja,IGDB v13.7,1,0,5.941999912,0.031845767,0.154502094,0.444289774,0.048551068,0.101018444,0.2846421,0,0.839999974,0.409999996,1,,G.James Australia,Solarplus TE10 on Bronze,3030340, ,256,1457602040,0,0.048551068,0.031845767,
1708,R10S G.ABF,IGDB v17.0,1,0,3.180000067,0.100669898,0.35825479,0.449888766,0.049335156,0.079527169,0.484640658,0,0.751999974,0.839999974,0.959999979,,A & B Films Pte Ltd,R10 S/G,5456938, ,256,1457602040,0,0.049335156,0.100669898,
259,GSG10_3.bsf,IGDB v16.3,1,0,3.251199961,0.110472016,0.277665347,0.310250014,0.049340542,0.106812835,0.0999486,0,0.839999974,0.827000022,0.964999974,,Saint-Gobain Solar Gard LLC,Grey/Silver/Grey 10,4669753,#,256,1457602040,0,0.049340542,0.110472016,
11445,COOL-LITE ST 708 6mm.SGG,IGDB v17.4,1,0,6,0.033977605,0.484765708,0.152136028,0.050153647,0.376409203,0.212967917,0,0.147,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE ST 708 6mm,4473144,#,256,1457602041,0,0.050153647,0.033977605,
4844,MG05.jwf,IGDB v33.0,1,0,3.036000013,0.136068359,0.250927687,0.277187526,0.051042799,0.112405881,0.105557404,0,0.839999974,0.740881741,0.959999979,,"Johnson Laminating & Coating, Inc.",Architectural Grey 05%,4801083,#,256,1457602041,0,0.051042799,0.136068359,
5810,ss08_5.gja,IGDB v13.6,1,0,5.846000195,0.033590011,0.147418052,0.491484255,0.0514968,0.212967724,0.378292263,0,0.839999974,0.419999987,1,,G.James Australia,Solarplus SS08 on Panasap Dark Blue,4604725, ,256,1457602041,0,0.0514968,0.033590011,
221,TV5_3.bsf,IGDB v17.4,1,0,3.250999928,0.059455514,0.513728201,0.444693983,0.051674776,0.451348454,0.083021656,0,0.839999974,0.75,0.965730727,,Saint-Gobain Solar Gard LLC,TrueVue 5,4539193,#,256,1457602041,0,0.051674776,0.059455514,
5787,te10_a5.gja,IGDB v13.7,1,0,5.859000206,0.023746263,0.08657787,0.441682488,0.051682938,0.110522725,0.282132,0,0.839999974,0.409999996,1,,G.James Australia,Solarplus TE10 on Arctic Blue,3818295, ,256,1457602041,0,0.051682938,0.023746263,
6278,VS2608.VIR,IGDB v26.0,1,0,5.659999847,0.036308452,0.159746364,0.460330814,0.051697847,0.201038569,0.31111002,0,0.839999974,0.351483077,1,,Viracon,Reflective on SolarBlue,4276794,#,256,1457602042,0,0.051697847,0.036308452,
11251,COOL-LITE ST 408 10mm.SGG,IGDB v16.4,1,0,10,0.023175443,0.484765708,0.11337027,0.054800887,0.376409203,0.246170491,0,0.147,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE ST 408 10mm,4146490, ,256,1457602042,0,0.054800887,0.023175443,
2524,DL05GRSRCDF.CPF,IGDB v18.2,1,0,3.059999943,0.114475839,0.285363674,0.325849324,0.055183683,0.131003678,0.128745258,0,0.839999974,0.771000028,0.934000015,,Solutia Performance Films,LLumar Deluxe Grey,4670017,#,256,1457602043,0,0.055183683,0.114475839,
19710,DL05GRSRCDF.EMN,IGDB v44.0,1,0,3.059999943,0.114475839,0.285363674,0.325849324,0.055183683,0.131003678,0.128745258,0,0.839999974,0.771000028,0.934000015,,Eastman Chemical Company,LLumar Deluxe Grey,4670017,#,256,1457602043,0,0.055183683,0.114475839,
11223,COOL-LITE SS 408 10mm.SGG,IGDB v16.4,1,0,10,0.023534492,0.485519826,0.110378914,0.055841904,0.372249931,0.235943645,0,0.412,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE SS 408 10mm,4081209, ,256,1457602043,0,0.055841904,0.023534492,
4837,NS05.jwf,IGDB v33.0,1,0,3.026000023,0.135441005,0.259491056,0.289337307,0.056160104,0.118357711,0.11667981,0,0.839999974,0.72414583,0.966000021,,"Johnson Laminating & Coating, Inc.",Night Scape 05%,4867897,#,256,1457602043,0,0.056160104,0.135441005,
5786,te10_5.gja,IGDB v13.7,1,0,5.872000217,0.028733606,0.099433556,0.441075951,0.056506563,0.10991776,0.282115966,0,0.839999974,0.409999996,1,,G.James Australia,Solarplus TE10 on Panasap Dark Blue,4015675, ,256,1457602043,0,0.056506563,0.028733606,
